dni,nombre,edad,genero,altura
18758046,Rosa,40,F,1.84
90843596,Jorge,63,M,1.92
59868927,Claudia,75,F,1.59
77034698,Elena,19,F,1.73
35743426,Elena,53,F,1.7
65565093,Pedro,21,M,1.8
33858855,Ana,63,F,1.62
77487057,Ana,21,F,1.5
33061827,Jorge,80,M,1.74
69608109,Elena,56,F,1.72
96171859,Ana,25,F,1.69
94365536,Lidia,26,F,1.69
18601690,Lidia,53,F,1.61
23809206,Fernando,34,M,1.6
24249549,Diego,33,M,1.89
58366866,Carmen,52,F,1.81
59528841,Sofía,75,F,1.77
12730683,Pedro,55,M,1.83
36463246,María,32,F,1.7
72856828,Carlos,62,M,1.71
75610758,Fernando,47,M,1.8
24182887,Ricardo,64,M,1.79
60690035,Carmen,21,F,1.74
71206179,Lidia,75,F,1.47
63412782,Carmen,58,F,1.74
63170373,Sofía,24,F,1.76
59770659,Pedro,58,M,1.89
69214724,María,38,F,1.83
99496942,Lidia,59,F,1.83
47800996,Sofía,62,F,1.69
87677808,Fernando,26,M,1.86
97119145,Pedro,59,M,1.6
38841195,Miguel,80,M,1.75
18487043,Luis,77,M,1.72
66088293,Jorge,73,M,1.59
89877906,Diego,42,M,1.88
46440182,Diego,69,M,1.56
99595265,Juan,28,M,1.71
75897025,Juan,54,M,1.64
47552409,Miguel,70,M,1.62
12671598,Luis,52,M,1.94
11645549,Elena,64,F,1.63
95852585,Luis,74,M,1.62
73271306,Carmen,39,F,1.67
79056051,Carmen,53,F,1.74
41686507,Lucía,26,F,1.75
99314130,Claudia,48,F,1.71
80695727,Patricia,52,F,1.8
21123285,Miguel,73,M,1.59
18837216,Jorge,66,M,1.88
99820204,Elena,52,F,1.45
32509625,Patricia,62,F,1.76
85963289,Luis,34,M,1.88
75723769,Pedro,75,M,1.6
54733185,Claudia,40,F,1.46
48262703,Diego,62,M,1.61
30536522,Ana,76,F,1.65
25046760,Rosa,79,F,1.61
53892965,Luis,40,M,1.64
62545680,Carlos,54,M,1.73
42893564,Sofía,77,F,1.75
51110932,Jorge,68,M,1.77
39906184,Ana,59,F,1.78
42745944,Andrés,30,M,1.81
29975997,Carlos,24,M,1.78
95171607,Andrés,41,M,1.61
61887086,Juan,56,M,1.91
48094836,Carlos,67,M,1.67
59159687,Sofía,62,F,1.5
33689528,Ana,26,F,1.69
76196043,Carmen,42,F,1.46
49023538,Patricia,55,F,1.69
78987601,Diego,31,M,1.61
86203249,Carlos,74,M,1.72
81583212,Sofía,61,F,1.57
92738845,Patricia,31,F,1.77
91620446,Ricardo,77,M,1.83
96752087,Lidia,60,F,1.5
27083016,Carmen,78,F,1.47
85554275,Sofía,53,F,1.65
32360759,Claudia,71,F,1.72
55852416,Lucía,37,F,1.72
83019138,Rosa,38,F,1.71
98459339,Carlos,63,M,1.59
57504166,Ana,35,F,1.75
47352256,Sofía,75,F,1.54
62243353,Elena,30,F,1.79
37704634,Sofía,29,F,1.65
16476583,Sofía,67,F,1.75
57770631,Elena,78,F,1.56
41627799,María,74,F,1.47
37070795,Patricia,54,F,1.72
41376198,Elena,45,F,1.72
81838557,Patricia,52,F,1.54
86565034,Carlos,38,M,1.56
55122755,Lidia,71,F,1.58
63986460,Lidia,40,F,1.66
27692722,Fernando,30,M,1.62
24388846,Carlos,36,M,1.56
28444820,Sofía,31,F,1.76
68512685,Carmen,22,F,1.46
56807295,María,41,F,1.77
39442152,Elena,31,F,1.66
15526776,Pedro,71,M,1.87
34023450,Diego,35,M,1.72
56437937,Ricardo,66,M,1.88
95070241,Jorge,22,M,1.89
17821408,Sofía,61,F,1.75
85935573,Fernando,48,M,1.6
67060733,Lucía,72,F,1.75
14090668,Ana,68,F,1.7
59980312,Pedro,69,M,1.71
19373580,Elena,22,F,1.78
38938144,Lidia,34,F,1.63
37085630,Claudia,65,F,1.48
17976592,Carmen,63,F,1.53
68651747,Lucía,72,F,1.76
39252833,Carmen,31,F,1.83
18160768,Fernando,68,M,1.81
50843113,Ricardo,45,M,1.63
35568590,Jorge,44,M,1.68
57914615,Claudia,78,F,1.48
58569219,Andrés,52,M,1.72
24286707,Fernando,59,M,1.76
13032029,Rosa,48,F,1.75
78458879,Ana,38,F,1.61
56213020,Pedro,47,M,1.9
78943634,Carmen,50,F,1.67
37789119,Carlos,61,M,1.89
25066874,Carmen,37,F,1.59
63292207,Fernando,64,M,1.86
43525313,Andrés,64,M,1.87
96372504,Jorge,71,M,1.7
66797201,Diego,61,M,1.87
62107784,Juan,75,M,1.69
15248349,Carmen,19,F,1.59
13476663,Carlos,22,M,1.91
13248755,Rosa,39,F,1.75
25097212,Diego,71,M,1.94
94229637,Rosa,54,F,1.75
88360590,Lucía,50,F,1.54
69193826,Carlos,31,M,1.8
68902297,Elena,36,F,1.48
10777598,Andrés,36,M,1.89
30778221,Patricia,34,F,1.54
58712468,Sofía,55,F,1.68
17131449,Juan,49,M,1.93
83185922,Ana,29,F,1.75
26775544,Andrés,49,M,1.73
87894522,Carmen,60,F,1.62
78760655,Carmen,27,F,1.46
48388593,Patricia,59,F,1.8
78081564,Lidia,22,F,1.53
55168693,Jorge,47,M,1.72
89549461,Lidia,40,F,1.72
23950083,Lucía,23,F,1.73
88198034,Juan,79,M,1.72
94799836,Diego,77,M,1.71
34188547,Rosa,53,F,1.84
18554024,Carlos,54,M,1.64
61486968,Jorge,47,M,1.78
99145938,Jorge,71,M,1.65
70402101,Patricia,50,F,1.76
95647807,Jorge,50,M,1.88
37364882,Andrés,40,M,1.8
16349262,Fernando,80,M,1.69
47764767,Jorge,27,M,1.58
39610960,Patricia,74,F,1.59
87904711,Ana,75,F,1.79
20787629,Sofía,27,F,1.74
50227625,Carmen,75,F,1.59
49434907,Miguel,28,M,1.86
66475221,Diego,59,M,1.95
10404270,Carlos,38,M,1.75
11063492,Elena,40,F,1.75
93595612,Andrés,51,M,1.59
40770702,Lucía,76,F,1.49
48421690,Diego,44,M,1.93
29131258,Carmen,77,F,1.53
72835327,Elena,62,F,1.83
53727782,Elena,55,F,1.59
20207486,Juan,43,M,1.75
79781987,Carlos,29,M,1.72
57362098,Claudia,77,F,1.46
49546804,Diego,61,M,1.66
60720935,Pedro,75,M,1.67
47321883,Miguel,77,M,1.84
71023376,Diego,67,M,1.62
68953351,Pedro,18,M,1.75
37148125,Carlos,71,M,1.74
14612313,Juan,59,M,1.67
68410908,Ana,30,F,1.46
65207356,Patricia,58,F,1.61
54042975,María,25,F,1.8
80622643,María,19,F,1.48
19245491,Elena,67,F,1.55
20231311,Sofía,42,F,1.68
92997116,Lucía,45,F,1.85
44830408,Juan,27,M,1.66
68503004,Lidia,65,F,1.69
59959799,Carlos,74,M,1.59
10707139,Rosa,74,F,1.5
47054174,María,62,F,1.82
46979933,Ricardo,29,M,1.9
72683589,Carmen,43,F,1.62
70792889,Patricia,64,F,1.55
49357046,Fernando,50,M,1.79
77236552,Sofía,33,F,1.72
11424763,Ricardo,46,M,1.72
78529697,Rosa,19,F,1.84
26769338,Luis,74,M,1.7
27117941,Lidia,78,F,1.45
20973598,Andrés,44,M,1.93
52977880,Patricia,75,F,1.7
60054412,Miguel,44,M,1.59
38417705,Rosa,54,F,1.57
86271080,Sofía,67,F,1.47
60436044,Miguel,64,M,1.71
46170477,Ricardo,79,M,1.76
26649567,Fernando,52,M,1.69
65299728,Miguel,28,M,1.92
74761131,Jorge,75,M,1.69
67917322,Lidia,38,F,1.72
80266472,María,26,F,1.79
84358741,Sofía,47,F,1.76
50602166,Sofía,23,F,1.75
63012532,Juan,21,M,1.77
41275543,Carlos,58,M,1.55
53495262,Ana,63,F,1.84
58193702,Fernando,59,M,1.86
84809244,Miguel,22,M,1.64
14100618,Lucía,79,F,1.84
58342848,Rosa,27,F,1.53
43540637,Claudia,20,F,1.66
96387293,María,77,F,1.64
98523923,Sofía,33,F,1.49
73357420,Diego,27,M,1.72
58054437,Miguel,80,M,1.64
15217315,Patricia,34,F,1.83
59896898,Fernando,22,M,1.74
37090112,Luis,54,M,1.73
89526268,Lucía,48,F,1.84
55284412,Juan,27,M,1.6
51761652,Luis,62,M,1.77
97200272,Pedro,20,M,1.67
29495142,Patricia,30,F,1.47
76071543,Ricardo,78,M,1.6
29932211,Ricardo,33,M,1.59
77426930,Andrés,28,M,1.71
79319843,María,52,F,1.68
46098857,Juan,44,M,1.95
79004660,Carlos,44,M,1.85
70657799,Miguel,34,M,1.91
42382534,Elena,56,F,1.79
87324295,Carlos,58,M,1.6
40998659,Rosa,56,F,1.81
49617658,Elena,79,F,1.63
77348387,Carlos,36,M,1.91
16339830,Fernando,33,M,1.78
82797305,Elena,30,F,1.6
20235432,Carmen,26,F,1.65
49881391,Juan,32,M,1.94
87062192,Miguel,66,M,1.89
41557978,Carlos,71,M,1.76
43764410,Luis,35,M,1.7
29199457,Carmen,59,F,1.5
14348602,Diego,37,M,1.89
47603708,Fernando,66,M,1.75
65546209,Andrés,50,M,1.9
53810050,Lucía,58,F,1.73
38377318,Andrés,35,M,1.91
21293325,Jorge,53,M,1.66
25109448,Pedro,68,M,1.9
24059162,Jorge,72,M,1.94
41932131,María,33,F,1.49
46141880,María,59,F,1.58
68964096,Lidia,55,F,1.67
40132243,Andrés,37,M,1.57
42037225,Juan,26,M,1.94
93994638,Ricardo,43,M,1.74
67902367,Miguel,46,M,1.84
35858188,Luis,19,M,1.9
81130150,Miguel,34,M,1.74
38668358,Pedro,54,M,1.91
74758812,Lidia,18,F,1.71
88539626,María,60,F,1.71
80805229,Juan,20,M,1.82
68287972,Fernando,32,M,1.85
95996120,Rosa,29,F,1.61
22233301,Pedro,39,M,1.61
10902854,Carlos,52,M,1.56
31406086,María,52,F,1.74
20470618,Lucía,30,F,1.66
27333358,Miguel,38,M,1.85
85597381,María,36,F,1.77
81922424,María,22,F,1.78
28353602,Miguel,76,M,1.81
40131415,Luis,31,M,1.88
52632639,Patricia,42,F,1.51
86040875,Andrés,44,M,1.9
23072356,Elena,42,F,1.85
99856994,Rosa,48,F,1.51
55392477,Fernando,57,M,1.7
38939057,Elena,30,F,1.74
40014644,Carlos,55,M,1.75
56501876,Rosa,59,F,1.81
19361296,Miguel,41,M,1.78
80662307,Claudia,22,F,1.62
92284119,Jorge,51,M,1.56
33933757,Claudia,45,F,1.52
55275727,Patricia,26,F,1.55
10906451,Andrés,73,M,1.87
30595796,Rosa,61,F,1.53
71065885,Sofía,38,F,1.51
12380080,Diego,79,M,1.57
42442274,Miguel,34,M,1.77
13453485,Luis,75,M,1.78
42131526,Carmen,52,F,1.67
58474424,Fernando,45,M,1.87
92228592,Fernando,64,M,1.92
62689860,Fernando,48,M,1.62
40764834,Miguel,66,M,1.68
75561342,Fernando,25,M,1.57
23158955,Luis,23,M,1.62
73691231,Patricia,32,F,1.83
75264249,Elena,64,F,1.72
81907255,Sofía,70,F,1.57
75723970,Ana,77,F,1.71
61445217,Lidia,37,F,1.49
26180518,Miguel,78,M,1.94
30676508,Pedro,37,M,1.91
18900852,Lucía,19,F,1.52
69853660,Diego,64,M,1.63
16368916,Pedro,27,M,1.78
90357270,Carlos,33,M,1.84
34533197,Patricia,27,F,1.65
68990927,Jorge,63,M,1.69
37022316,Sofía,50,F,1.7
54475942,Carmen,77,F,1.52
92353996,Lidia,20,F,1.5
10073272,Lidia,33,F,1.46
52657211,Claudia,61,F,1.67
16841617,Fernando,74,M,1.9
34468611,Juan,75,M,1.58
50158694,Carlos,49,M,1.79
83764793,Andrés,80,M,1.57
42806922,Andrés,44,M,1.71
63153073,Carlos,51,M,1.8
59257243,Luis,46,M,1.58
20512281,Lucía,22,F,1.79
65654669,Pedro,51,M,1.63
17986951,Carmen,80,F,1.48
16252549,Carmen,79,F,1.7
49413231,Pedro,64,M,1.74
19101082,Ricardo,63,M,1.79
69145017,Elena,67,F,1.71
46593398,Diego,18,M,1.66
81666452,Andrés,27,M,1.81
21952656,Diego,78,M,1.65
14453293,Lidia,50,F,1.77
11998440,Sofía,32,F,1.51
44806021,Fernando,54,M,1.87
42499376,Rosa,34,F,1.77
61213521,Ricardo,37,M,1.55
88539128,Lidia,72,F,1.75
47354918,Lucía,66,F,1.53
15585628,Juan,67,M,1.95
98677875,Lucía,72,F,1.66
93483383,Ricardo,45,M,1.72
39323044,Jorge,22,M,1.79
31866833,Elena,30,F,1.54
93323754,Diego,33,M,1.82
78572883,Pedro,73,M,1.59
31154293,Carlos,58,M,1.74
31648750,Fernando,69,M,1.61
46115278,Rosa,25,F,1.78
16130803,Luis,56,M,1.88
33806087,Patricia,66,F,1.8
37975512,Diego,50,M,1.87
56017175,María,35,F,1.68
82794863,Jorge,58,M,1.69
90241560,Claudia,77,F,1.52
60746046,Claudia,56,F,1.81
48202126,Juan,31,M,1.73
32763561,Ricardo,57,M,1.6
57204841,Carlos,23,M,1.79
92848425,Lucía,68,F,1.48
71130006,Luis,21,M,1.84
69442943,Patricia,38,F,1.52
87018764,Lidia,53,F,1.84
84994262,Sofía,29,F,1.78
89833144,Lucía,45,F,1.81
17462138,Carmen,43,F,1.78
65850857,Andrés,73,M,1.71
56947728,Patricia,25,F,1.78
40362533,Juan,74,M,1.77
40910085,Claudia,27,F,1.64
54094667,Carmen,42,F,1.48
35714124,Fernando,79,M,1.72
68925325,Andrés,28,M,1.7
81814124,Rosa,72,F,1.75
67346814,Ana,23,F,1.48
66692049,Andrés,46,M,1.72
28738254,María,50,F,1.54
65175220,Ricardo,66,M,1.79
42871679,Ana,36,F,1.6
81318839,Lidia,24,F,1.83
49643481,Fernando,68,M,1.55
86871439,Lidia,33,F,1.73
47276285,Andrés,63,M,1.73
58233848,Carmen,60,F,1.58
29920648,Ana,22,F,1.7
56927693,Fernando,26,M,1.7
88087681,Lucía,62,F,1.62
87357997,Lidia,77,F,1.64
67537282,Pedro,38,M,1.56
69797365,Ana,69,F,1.73
70856281,Claudia,29,F,1.81
65850308,Rosa,73,F,1.59
88136281,Sofía,32,F,1.58
17417199,Fernando,25,M,1.74
94305545,Jorge,45,M,1.63
97112677,Rosa,37,F,1.45
19751961,Carmen,48,F,1.68
67140215,Carmen,39,F,1.72
49156442,Luis,19,M,1.58
73775842,Andrés,64,M,1.64
10253555,María,64,F,1.48
61513666,Juan,54,M,1.71
80170705,Luis,72,M,1.65
14832884,Jorge,41,M,1.76
53009074,Lucía,62,F,1.57
31146154,Fernando,28,M,1.66
93055699,Lidia,73,F,1.61
16640439,Carlos,35,M,1.59
73570845,Ana,52,F,1.85
29439569,Carlos,50,M,1.56
52537775,Sofía,56,F,1.58
85893156,Fernando,34,M,1.57
48767446,Carlos,61,M,1.67
91727115,Luis,55,M,1.76
93516528,Pedro,36,M,1.79
17409567,Luis,73,M,1.86
50121120,Ricardo,79,M,1.63
52872295,Jorge,21,M,1.94
98579636,Juan,36,M,1.6
28684873,Claudia,31,F,1.61
44554232,Juan,45,M,1.9
25006486,Luis,32,M,1.84
27465399,Sofía,57,F,1.77
58878495,Andrés,33,M,1.81
84744959,Lidia,31,F,1.49
65889245,Elena,53,F,1.66
34739793,Carmen,55,F,1.68
18920210,Lucía,27,F,1.57
10226098,Jorge,60,M,1.64
98610510,Elena,57,F,1.52
15916307,María,60,F,1.8
54555571,Rosa,32,F,1.84
12305327,Carmen,50,F,1.8
28104169,Diego,39,M,1.64
85384972,Carmen,79,F,1.54
87829721,Juan,74,M,1.6
34789594,Carlos,31,M,1.95
46051722,Ana,23,F,1.59
72455541,Andrés,34,M,1.88
96480215,Pedro,55,M,1.88
13478017,Rosa,49,F,1.5
21271691,Sofía,41,F,1.47
96750609,Juan,20,M,1.92
22265943,Juan,80,M,1.72
69640341,Rosa,73,F,1.75
93862602,Carmen,32,F,1.57
65911894,Andrés,67,M,1.81
53030065,Patricia,30,F,1.53
67606540,Lidia,32,F,1.53
68913251,Andrés,39,M,1.6
72107434,Patricia,80,F,1.67
10115078,Ricardo,61,M,1.83
49389136,Ana,37,F,1.51
39698402,Carlos,67,M,1.95
79394510,Juan,56,M,1.8
36822816,Elena,79,F,1.83
66994740,Lucía,48,F,1.49
79636137,María,57,F,1.48
18684748,Lucía,35,F,1.64
88469100,Fernando,66,M,1.94
56385246,Carlos,37,M,1.83
97106167,Sofía,42,F,1.68
69248445,Jorge,33,M,1.78
61720963,María,43,F,1.64
90558193,Jorge,37,M,1.63
65637975,Sofía,28,F,1.64
22575265,Luis,66,M,1.74
21728267,Jorge,54,M,1.62
13738637,Sofía,29,F,1.61
55289255,Pedro,66,M,1.71
18959317,Andrés,44,M,1.85
47325793,Pedro,69,M,1.77
56320448,Carmen,50,F,1.61
47939641,Ana,21,F,1.66
71000578,Patricia,34,F,1.57
49208702,Miguel,54,M,1.66
20420063,Luis,80,M,1.59
59313495,Andrés,78,M,1.7
90572164,Claudia,33,F,1.49
92535271,Carlos,56,M,1.61
18929857,Juan,28,M,1.8
11943961,Ricardo,70,M,1.61
92196123,Miguel,41,M,1.72
26423480,Rosa,54,F,1.83
62608973,Andrés,61,M,1.58
67864303,Lucía,22,F,1.57
26886054,Fernando,58,M,1.63
13992981,Rosa,27,F,1.66
43048827,Ricardo,50,M,1.92
50802261,Carmen,20,F,1.72
91713822,Miguel,40,M,1.58
51055583,Jorge,61,M,1.57
80105424,Claudia,63,F,1.55
94507665,Diego,74,M,1.83
98124135,Lucía,39,F,1.62
21922755,Carlos,65,M,1.93
51203211,Lucía,75,F,1.65
21402351,Andrés,18,M,1.66
51748832,Claudia,46,F,1.62
17922331,Carlos,54,M,1.92
20085393,Juan,27,M,1.58
29884278,Carmen,67,F,1.83
78387866,Fernando,23,M,1.78
84539038,Lucía,57,F,1.72
51913819,Lucía,63,F,1.78
30670270,Luis,50,M,1.81
74592087,Patricia,47,F,1.72
25175354,Jorge,63,M,1.79
73513992,Rosa,70,F,1.67
76134734,Sofía,54,F,1.68
26895555,Pedro,50,M,1.93
66523873,Sofía,76,F,1.54
50330422,Miguel,30,M,1.83
27079569,Patricia,69,F,1.74
70858249,Fernando,80,M,1.59
39442108,Pedro,78,M,1.93
33713637,Patricia,46,F,1.63
62074374,Luis,24,M,1.68
93109327,Jorge,20,M,1.91
11362906,Andrés,33,M,1.67
82343027,Sofía,58,F,1.63
24896152,Carmen,20,F,1.83
97334594,Carmen,72,F,1.61
14736512,Sofía,51,F,1.58
60346973,Carmen,75,F,1.75
69772732,Pedro,47,M,1.84
17799063,Lucía,56,F,1.65
95259879,Miguel,79,M,1.58
14666391,Lidia,22,F,1.78
22748639,Patricia,20,F,1.84
18698578,Luis,71,M,1.86
49348092,Lidia,33,F,1.47
17123460,Diego,64,M,1.68
49023882,Lucía,78,F,1.69
37138803,Pedro,59,M,1.84
54013366,Andrés,22,M,1.67
40806234,Carlos,54,M,1.71
64001119,Luis,80,M,1.65
87855951,Claudia,50,F,1.69
28541045,Claudia,62,F,1.75
27967059,Ricardo,38,M,1.65
15390121,Rosa,75,F,1.83
35843175,Lidia,41,F,1.63
19686306,Ana,76,F,1.7
14553615,Ricardo,76,M,1.87
60146460,Ana,58,F,1.65
43476481,Fernando,23,M,1.83
84044348,Sofía,30,F,1.5
40666065,Jorge,66,M,1.82
56633915,Lucía,35,F,1.77
80484958,Pedro,22,M,1.57
39056378,Lucía,69,F,1.48
58015611,Sofía,63,F,1.58
77117355,Claudia,26,F,1.6
35719685,Miguel,20,M,1.64
66642633,Luis,79,M,1.62
10353034,Andrés,50,M,1.9
19325017,Lucía,75,F,1.46
72183354,Diego,45,M,1.89
74600010,Patricia,38,F,1.58
14844656,Sofía,31,F,1.57
59657967,Jorge,49,M,1.84
76965865,Andrés,44,M,1.71
25149191,Claudia,58,F,1.63
47649527,Carmen,35,F,1.46
51304816,María,61,F,1.73
50804477,María,44,F,1.69
49923763,Rosa,63,F,1.59
67517421,Ricardo,72,M,1.93
75776541,Jorge,43,M,1.65
72073095,Juan,78,M,1.72
55958713,Lucía,37,F,1.8
86564135,Rosa,63,F,1.7
44400705,Andrés,61,M,1.77
96943519,Luis,22,M,1.8
50539830,Lidia,55,F,1.77
61655470,Claudia,20,F,1.82
96074389,Miguel,71,M,1.79
49710331,Jorge,60,M,1.77
46441393,Jorge,31,M,1.78
97636169,Diego,58,M,1.73
70725450,Andrés,74,M,1.77
24690180,Patricia,52,F,1.84
54829141,Fernando,46,M,1.78
79262171,Carmen,45,F,1.79
47720677,Diego,77,M,1.94
18922068,Sofía,55,F,1.57
12614272,Jorge,73,M,1.64
53204493,Carmen,28,F,1.47
14679128,María,45,F,1.79
27776366,Elena,50,F,1.67
44704550,Lucía,57,F,1.66
79601537,Carlos,49,M,1.7
19183364,Carmen,49,F,1.61
74019338,Ana,46,F,1.69
98672517,Patricia,29,F,1.63
64832486,Carlos,28,M,1.59
29188305,Ana,26,F,1.81
95546828,Claudia,61,F,1.69
94307144,Jorge,65,M,1.75
76743617,Ana,34,F,1.54
82083770,Elena,38,F,1.65
70426133,Ana,24,F,1.7
22958097,Carlos,36,M,1.6
10180407,Jorge,63,M,1.63
17166974,Fernando,31,M,1.86
25854884,Fernando,40,M,1.63
35802182,Carlos,33,M,1.84
22690687,Juan,63,M,1.91
12700764,Sofía,59,F,1.8
74605696,Claudia,59,F,1.61
72514427,Ana,21,F,1.53
14617380,Ricardo,69,M,1.69
90596237,Lidia,36,F,1.64
11697509,Ana,57,F,1.6
84246895,María,80,F,1.61
17332689,Luis,31,M,1.9
48001833,Patricia,26,F,1.5
33722263,Luis,46,M,1.76
91832615,Miguel,65,M,1.56
87813322,Ricardo,36,M,1.57
17450195,Rosa,58,F,1.47
47235298,Andrés,32,M,1.56
47981677,María,71,F,1.81
91841711,Carmen,56,F,1.71
30156816,Ana,65,F,1.72
92979187,Elena,40,F,1.8
47108645,Carmen,27,F,1.5
37742012,Claudia,71,F,1.7
77795690,Lucía,59,F,1.57
78632341,Lucía,73,F,1.69
75754431,Andrés,27,M,1.7
53072169,María,74,F,1.75
34268278,Ana,43,F,1.83
84077271,Carlos,36,M,1.89
29512532,Fernando,50,M,1.93
39254390,Rosa,46,F,1.72
19508387,Carlos,18,M,1.86
16279021,Juan,65,M,1.62
38594608,Ricardo,19,M,1.81
74941467,Ricardo,36,M,1.8
80064577,Miguel,58,M,1.72
87671033,Rosa,45,F,1.57
78268360,Claudia,43,F,1.77
48669844,María,79,F,1.78
43439959,Rosa,61,F,1.73
20717580,Lucía,61,F,1.63
77258736,Juan,61,M,1.88
68725075,Fernando,48,M,1.91
52421381,Juan,54,M,1.65
84617528,Jorge,50,M,1.86
30433612,Elena,45,F,1.77
74236765,Fernando,39,M,1.78
33187634,Lidia,75,F,1.46
30465920,Pedro,64,M,1.92
79292344,Sofía,22,F,1.78
21634091,Claudia,29,F,1.77
68694895,Lidia,72,F,1.84
28342065,Carmen,70,F,1.8
29704473,Patricia,41,F,1.7
50881397,Diego,79,M,1.82
54852283,Claudia,46,F,1.66
12666999,Juan,44,M,1.79
32106535,Sofía,41,F,1.69
65910823,Fernando,49,M,1.57
76175150,Carmen,25,F,1.55
63740690,Sofía,20,F,1.69
74720363,Diego,58,M,1.74
39390092,Diego,38,M,1.73
10878206,Lidia,40,F,1.77
75487645,Jorge,26,M,1.65
63796341,María,25,F,1.58
90499512,Claudia,74,F,1.59
76450706,Carmen,25,F,1.63
96908802,Claudia,22,F,1.83
34813183,Carmen,38,F,1.59
76847939,Pedro,68,M,1.94
30322112,Rosa,66,F,1.48
31537997,Andrés,53,M,1.59
43017338,Claudia,62,F,1.82
91319154,Patricia,77,F,1.55
20332261,Miguel,39,M,1.6
52546139,Pedro,58,M,1.59
30877640,Luis,42,M,1.69
36268708,Luis,46,M,1.65
92842342,Lucía,66,F,1.55
50534003,Juan,40,M,1.7
38358370,Diego,57,M,1.69
95578280,Lucía,56,F,1.66
94631388,Jorge,38,M,1.71
93777067,Fernando,19,M,1.68
63898836,Patricia,43,F,1.51
99057607,Elena,57,F,1.54
86538218,Carmen,36,F,1.55
25934265,María,66,F,1.83
76121304,Andrés,53,M,1.74
24951266,María,60,F,1.79
81473162,Lidia,66,F,1.58
81498189,Miguel,62,M,1.83
31831677,Diego,56,M,1.89
76652003,Lucía,34,F,1.83
19479307,Patricia,38,F,1.55
94214758,Lucía,35,F,1.46
49921902,Miguel,71,M,1.7
40089924,Jorge,44,M,1.94
87542702,María,53,F,1.61
91565025,Pedro,50,M,1.73
94728680,Juan,67,M,1.8
14846993,María,78,F,1.73
91501687,Juan,30,M,1.77
76707011,Ricardo,24,M,1.94
93924662,Carmen,50,F,1.64
61815307,Lucía,58,F,1.75
43488777,María,72,F,1.45
40146109,Diego,26,M,1.72
97802360,Andrés,73,M,1.81
21822564,Claudia,56,F,1.78
93680148,Luis,55,M,1.92
82903376,Jorge,47,M,1.84
55328696,Carlos,68,M,1.65
57407296,Andrés,41,M,1.55
43399071,Diego,49,M,1.68
92048918,Andrés,63,M,1.88
84157789,Ricardo,47,M,1.57
88444741,Claudia,58,F,1.8
18261929,Diego,48,M,1.85
74180035,Fernando,64,M,1.92
95173601,Ricardo,59,M,1.56
94446531,Lidia,22,F,1.66
50638461,Luis,40,M,1.81
95853932,Carlos,53,M,1.65
21673611,Sofía,55,F,1.56
